Protein Id,Gene Symbol,Description,Number of peptides,RAW sum signal-to-noise,,,,,,,,,,Normalized sum signal-to-noise,,,,,,,,,,"TMT relative abundance (scaled, i.e., sum across 11 channels for each protein=100)",,,,,,,,,,,,,
,,,,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5,,,,
,,,,126,127n,127c,128n,128c,129n,129c,130n,130c,131,126,127n,127c,128n,128c,129n,129c,130n,130c,131,126,127n,127c,128n,128c,129n,129c,130n,130c,131,,,,
tr|E9QM38|E9QM38_MOUSE,Slc12a2,E9QM38_MOUSE Solute carrier family 12 member 2,52,10796.9,11944.3,12111,9754.99,9562.19,9370.8,10394,10969.9,9633.64,7298.78,10969.2,12395.3,12111,9934.65,9980.22,10688.7,11065,12040.1,9873.24,9799.11,10.0768,11.3868,11.1256,9.12637,9.16823,9.8191,10.1647,11.0605,9.06996,9.00186,,,,
sp|Q91V81|RBM42_MOUSE,Rbm42,RBM42_MOUSE RNA-binding protein 42,14,2040.33,2165.52,2390.64,2097.19,2037.83,1859.15,2012.32,2141.09,2190.71,1471.84,2072.9,2247.29,2390.64,2135.82,2126.92,2120.62,2142.23,2349.98,2245.19,1976.04,9.50537,10.3051,10.9624,9.79389,9.75311,9.72423,9.82329,10.776,10.2955,9.06125,,,,
sp|P60330|ESPL1_MOUSE,Espl1,ESPL1_MOUSE Separin,1,77.9906,67.0416,76.48,78.9651,66.6479,66.0278,75.8187,68.5055,73.9776,58.3461,79.2353,69.5729,76.48,80.4194,69.5616,75.314,80.7131,75.1891,75.8174,78.3336,10.417,9.14667,10.0547,10.5726,9.14518,9.90144,10.6113,9.88502,9.96763,10.2984,,,,
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UAP1L_MOUSE UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,12,1716.58,1661.08,1710.15,1902.72,1932.79,1455,1442.95,1421.21,1697.41,1231.35,1743.98,1723.8,1710.15,1937.76,2017.29,1659.63,1536.1,1559.87,1739.62,1653.16,10.0917,9.97491,9.89593,11.213,11.6732,9.6036,8.88877,9.02631,10.0665,9.56616,,,,
sp|Q6P549|SHIP2_MOUSE,Inppl1,"SHIP2_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",14,2395.94,2252.61,2382.99,2360.43,2154.47,2109.03,2343.51,2270.95,2294.99,1775.84,2434.18,2337.66,2382.99,2403.9,2248.66,2405.64,2494.79,2492.51,2352.07,2384.18,10.1693,9.76605,9.95544,10.0428,9.39423,10.0501,10.4225,10.413,9.82626,9.96041,,,,
sp|Q91YN5|UAP1_MOUSE,Uap1,UAP1_MOUSE UDP-N-acetylhexosamine pyrophosphorylase,35,6589.25,5540.93,5661.45,8008.31,7592.77,5005.28,4467.87,4543.7,6516.87,5520.18,6694.41,5750.14,5661.45,8155.81,7924.7,5709.23,4756.29,4987,6678.95,7411.21,10.5045,9.02277,8.8836,12.7976,12.435,8.95858,7.46328,7.8253,10.4802,11.6292,,,,
sp|O70209|PDLI3_MOUSE,Pdlim3,PDLI3_MOUSE PDZ and LIM domain protein 3,16,2119.75,2209.05,2132.35,3359.79,3874.46,1526.66,1766.33,1518.66,2404.35,2223.95,2153.58,2292.46,2132.35,3421.67,4043.85,1741.37,1880.36,1666.83,2464.15,2985.8,8.68995,9.25035,8.60431,13.8069,16.3174,7.02662,7.58746,6.72585,9.94313,12.0481,,,,
sp|O35226|PSMD4_MOUSE,Psmd4,PSMD4_MOUSE 26S proteasome non-ATPase regulatory subunit 4,25,5773.19,5823.11,5619.85,4871.68,4703.26,5165.57,4862.22,5212.29,5462.13,3861.82,5865.33,6042.98,5619.85,4961.41,4908.88,5892.06,5176.09,5720.82,5597.98,5184.76,10.67,10.9932,10.2235,9.02564,8.93007,10.7186,9.41619,10.4071,10.1837,9.43196,,,,
sp|Q80X85|RT07_MOUSE,Mrps7,"RT07_MOUSE 28S ribosomal protein S7, mitochondrial",7,1768.78,1808.62,1961.79,1751.81,1680.25,1834.27,2010.76,1846.13,1965.26,1398.18,1797.01,1876.91,1961.79,1784.08,1753.71,2092.24,2140.56,2026.25,2014.14,1877.15,9.29944,9.71293,10.1522,9.23251,9.07535,10.8272,11.0773,10.4857,10.4231,9.71417,,,,
sp|P63213|GBG2_MOUSE,Gng2,GBG2_MOUSE Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,4,313.386,326.776,550.409,517.284,474.486,498.038,369.233,296.391,476.815,391.817,318.387,339.114,550.409,526.81,495.229,568.082,393.069,325.308,488.673,526.041,7.02667,7.4841,12.1473,11.6265,10.9295,12.5373,8.67486,7.17941,10.7848,11.6095,,,,
