Gene Symbol,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5
Slc12a2,10.0768,11.3868,11.1256,9.12637,9.16823,9.8191,10.1647,11.0605,9.06996,9.00186
Rbm42,9.50537,10.3051,10.9624,9.79389,9.75311,9.72423,9.82329,10.776,10.2955,9.06125
Espl1,10.417,9.14667,10.0547,10.5726,9.14518,9.90144,10.6113,9.88502,9.96763,10.2984
Uap1l1,10.0917,9.97491,9.89593,11.213,11.6732,9.6036,8.88877,9.02631,10.0665,9.56616
Inppl1,10.1693,9.76605,9.95544,10.0428,9.39423,10.0501,10.4225,10.413,9.82626,9.96041
Uap1,10.5045,9.02277,8.8836,12.7976,12.435,8.95858,7.46328,7.8253,10.4802,11.6292
Pdlim3,8.68995,9.25035,8.60431,13.8069,16.3174,7.02662,7.58746,6.72585,9.94313,12.0481
Psmd4,10.67,10.9932,10.2235,9.02564,8.93007,10.7186,9.41619,10.4071,10.1837,9.43196
Mrps7,9.29944,9.71293,10.1522,9.23251,9.07535,10.8272,11.0773,10.4857,10.4231,9.71417
Gng2,7.02667,7.4841,12.1473,11.6265,10.9295,12.5373,8.67486,7.17941,10.7848,11.6095
Zfpl1,9.42153,9.8263,10.1058,10.0299,10.6171,10.0636,9.89353,9.14723,10.7373,10.1577
Edc4,9.98594,9.80544,10.5071,9.7576,9.70678,10.1,10.0335,10.2866,10.2433,9.57382
Edc4,9.01004,7.61433,6.74056,12.6329,6.64572,15.9067,13.4873,11.6262,7.59424,8.74196
Spag5,10.9325,11.3562,12.4245,8.71501,10.0825,10.326,9.13574,7.90657,11.1609,7.96017
Pfdn4,9.10056,11.7131,8.96384,10.8216,8.4299,11.4899,9.13625,11.4981,8.55607,10.2907
U2surp,10.2274,10.3605,10.6565,9.2043,9.28249,10.1047,9.99242,10.7563,10.0612,9.35411
6-Sep,8.93884,9.4753,9.70366,11.1572,11.0249,9.25342,8.9435,10.0749,10.3737,11.0546
11-Sep,9.45129,9.27754,9.87995,9.89293,9.77879,10.1758,10.8245,10.4316,10.0514,10.2362
7-Sep,10.0287,9.57369,9.98463,9.92433,9.5964,9.99805,10.3021,10.4948,9.6515,10.4458
9-Sep,9.2784,9.68575,9.64967,9.23662,9.20124,10.6779,10.9238,10.6934,10.3902,10.263
10-Sep,8.64741,9.19218,9.54737,8.62486,9.11304,10.5804,11.5717,11.8756,10.5054,10.342
8-Sep,10.1674,9.66943,10.0113,10.299,10.7411,9.17457,9.93284,9.57768,10.1216,10.3051
Fh,10.275,9.82109,9.95253,11.1636,10.4723,9.35314,9.28971,9.44394,9.95013,10.2786
Tln1,9.53125,9.19646,9.52504,11.0255,11.8571,9.35156,9.57369,9.34873,10.1647,10.4259
Tln2,8.92938,9.14822,9.21469,11.0281,11.1896,9.24099,9.23905,10.7618,10.4977,10.7506
Tomm70a,9.95093,10.2036,10.0569,9.37514,9.36588,10.5262,10.1635,10.3747,10.287,9.69621
Rpf1,10.5559,10.615,9.52713,9.06884,9.85178,10.9303,9.42715,10.4735,9.65845,9.89207
Efhd2,9.87084,9.75444,9.52464,10.0653,9.6737,10.1708,10.0853,10.3022,10.0048,10.548
Wdfy4,11.7526,8.65096,8.75609,10.0841,12.4731,10.6836,9.73758,8.44941,9.02623,10.3863
Acbd6,10.19,10.0802,11.1546,9.02283,9.66558,9.73982,9.90017,10.4644,10.5996,9.18274
Ncor2,8.95657,8.93541,10.1442,8.9198,8.67952,10.7656,11.881,11.1477,10.5241,10.046
Ncor1,9.84776,10.0687,10.1017,9.4724,9.65884,10.3159,10.238,10.443,9.97116,9.88257
Sema7a,7.41971,7.04888,7.46356,5.94989,6.49517,12.9656,14.1701,13.3652,12.2986,12.8234
Postn,9.1395,9.06172,8.98113,12.0582,12.83,8.44697,9.12477,8.93113,9.94943,11.4772
Ckap5,10.0757,9.59502,10.2973,9.55429,9.7283,10.2919,10.2386,10.0997,10.441,9.67818
Trappc11,10.0726,9.93493,9.70937,10.3565,10.5173,10.126,9.70721,9.60451,10.1046,9.86696
Stip1,10.8462,10.56,10.88,9.89108,9.72532,10.4028,9.44864,9.24119,9.77029,9.23446
Ifit3,12.5011,17.2831,15.304,8.56515,12.3629,7.88544,6.91959,7.97516,6.11592,5.08763
I830012O16Rik,11.8422,19.7411,15.7585,8.84867,12.7707,8.08273,6.18244,6.53867,5.34101,4.89397
Uba5,10.557,9.49095,9.99144,10.9674,11.762,8.88108,8.96802,8.6254,10.6016,10.1551
Bcar1,9.07324,9.23952,8.91314,8.59347,8.66816,11.2272,11.4884,11.3424,10.7443,10.7102
Efnb1,9.06866,8.60188,9.10754,11.3895,10.5814,9.98147,8.97122,9.49232,10.5668,12.2392
Ctnnd1,9.28633,9.30862,9.35024,8.74211,8.74423,11.0412,11.5746,11.1489,10.507,10.2968
Eef1g,10.3463,10.0595,9.8688,9.57209,8.91579,10.662,10.4044,10.385,10.0256,9.76045
Golgb1,10.6739,9.97166,10.145,11.1638,10.9677,9.44142,8.66046,8.705,10.074,10.197
Copb1,10.2166,9.62249,9.92899,10.5131,10.2716,9.7526,9.73933,9.98948,9.8891,10.0767
Nol7,10.0503,10.7395,10.2564,6.69725,7.3285,11.8183,11.5174,12.7523,10.2076,8.63243
Pkp4,9.35373,10.2126,9.89153,8.8451,8.84131,10.8498,10.4494,10.661,10.8583,10.0373
Ttc4,10.0727,9.98421,10.4694,10.089,9.9434,10.1034,9.71195,10.0306,10.3316,9.2636
Ccdc94,10.4198,9.9755,10.4199,9.74924,9.97891,10.0409,10.4029,9.87768,10.0044,9.13077
Tcof1,10.7307,10.7111,10.6419,9.19658,9.36562,10.2067,9.60292,10.0403,9.94205,9.56207
Sox4,10.4289,8.44024,12.5497,7.98497,7.26347,10.8557,11.8908,11.7263,10.2916,8.56847
Cpsf1,10.2001,10.1329,10.3386,9.28162,9.62022,10.1266,10.2648,10.2341,10.0755,9.72557
Fam160a1,10.0619,9.44875,8.32993,9.05347,8.83286,11.2279,12.0178,11.0807,10.0968,9.8499
Ptprk,9.8693,10.7908,10.2214,9.40929,8.81791,10.3479,10.1295,11.1915,9.50063,9.72175
Acox1,9.40147,9.6912,9.66972,11.0421,10.126,9.05872,9.8913,9.86679,9.3942,11.8585
Irf2bp2,10.428,10.6849,11.3205,9.2339,9.83317,9.86506,9.55073,9.80215,10.1865,9.09506
Irf2bpl,9.06102,8.35359,8.36218,8.33111,9.05577,11.3045,12.4263,11.6941,10.6726,10.7387
Bcr,10.0154,9.63326,10.7152,10.7651,9.73719,10.1835,9.65564,9.99167,9.24532,10.0577
