Protein Id,Id,Gene Symbol,Description
tr|E9QM38|E9QM38_MOUSE,1,Slc12a2,E9QM38_MOUSE Solute carrier family 12 member 2
sp|Q91V81|RBM42_MOUSE,2,Rbm42,RBM42_MOUSE RNA-binding protein 42
sp|P60330|ESPL1_MOUSE,3,Espl1,ESPL1_MOUSE Separin
sp|Q3TW96|UAP1L_MOUSE,4,Uap1l1,UAP1L_MOUSE UDP-N-acetylhexosamine pyrophosphorylase-like protein 1
sp|Q6P549|SHIP2_MOUSE,5,Inppl1,"SHIP2_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2"
sp|Q91YN5|UAP1_MOUSE,6,Uap1,UAP1_MOUSE UDP-N-acetylhexosamine pyrophosphorylase
sp|O70209|PDLI3_MOUSE,7,Pdlim3,PDLI3_MOUSE PDZ and LIM domain protein 3
sp|O35226|PSMD4_MOUSE,8,Psmd4,PSMD4_MOUSE 26S proteasome non-ATPase regulatory subunit 4
sp|Q80X85|RT07_MOUSE,9,Mrps7,"RT07_MOUSE 28S ribosomal protein S7, mitochondrial"
sp|P63213|GBG2_MOUSE,10,Gng2,GBG2_MOUSE Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
sp|Q9DB43|ZFPL1_MOUSE,11,Zfpl1,ZFPL1_MOUSE Zinc finger protein-like 1
sp|Q3UJB9|EDC4_MOUSE,12,Edc4,EDC4_MOUSE Enhancer of mRNA-decapping protein 4
tr|F6V5I7|F6V5I7_MOUSE,13,Edc4,F6V5I7_MOUSE Enhancer of mRNA-decapping protein 4 (Fragment)
sp|Q7TME2|SPAG5_MOUSE,14,Spag5,SPAG5_MOUSE Sperm-associated antigen 5
tr|E9Q6U4|E9Q6U4_MOUSE,15,Pfdn4,E9Q6U4_MOUSE Protein Pfdn4
sp|Q6NV83|SR140_MOUSE,16,U2surp,SR140_MOUSE U2 snRNP-associated SURP motif-containing protein
sp|Q9R1T4|SEPT6_MOUSE,17,Sept6,SEPT6_MOUSE Septin-6
sp|Q8C1B7|SEP11_MOUSE,18,Sep11,SEP11_MOUSE Septin-11
sp|O55131|SEPT7_MOUSE,19,Sept7,SEPT7_MOUSE Septin-7
sp|Q80UG5|SEPT9_MOUSE,20,Sept9,SEPT9_MOUSE Septin-9
sp|Q8C650|SEP10_MOUSE,21,Sep10,SEP10_MOUSE Septin-10
sp|Q8CHH9|SEPT8_MOUSE,22,Sept8,SEPT8_MOUSE Septin-8
sp|P97807|FUMH_MOUSE,23,Fh,"FUMH_MOUSE Fumarate hydratase, mitochondrial"
sp|P26039|TLN1_MOUSE,24,Tln1,TLN1_MOUSE Talin-1
sp|Q71LX4|TLN2_MOUSE,25,Tln2,TLN2_MOUSE Talin-2
sp|Q9CZW5|TOM70_MOUSE,26,Tomm70a,TOM70_MOUSE Mitochondrial import receptor subunit TOM70
sp|Q7TND5|RPF1_MOUSE,27,Rpf1,RPF1_MOUSE Ribosome production factor 1
tr|Q8C845|Q8C845_MOUSE,28,Efhd2,Q8C845_MOUSE EF-hand domain-containing protein D2
tr|E9PV60|E9PV60_MOUSE,29,Wdfy4,E9PV60_MOUSE Protein Wdfy4
sp|Q9D061|ACBD6_MOUSE,30,Acbd6,ACBD6_MOUSE Acyl-CoA-binding domain-containing protein 6
tr|F8VQL9|F8VQL9_MOUSE,31,Ncor2,F8VQL9_MOUSE Nuclear receptor corepressor 2
tr|E9Q2B2|E9Q2B2_MOUSE,32,Ncor1,E9Q2B2_MOUSE Nuclear receptor corepressor 1
sp|Q9QUR8|SEM7A_MOUSE,33,Sema7a,SEM7A_MOUSE Semaphorin-7A
sp|Q62009-2|POSTN_MOUSE,34,Postn,POSTN_MOUSE Isoform 2 of Periostin
sp|A2AGT5|CKAP5_MOUSE,35,Ckap5,CKAP5_MOUSE Cytoskeleton-associated protein 5
sp|B2RXC1|TPC11_MOUSE,36,Trappc11,TPC11_MOUSE Trafficking protein particle complex subunit 11
sp|Q60864|STIP1_MOUSE,37,Stip1,STIP1_MOUSE Stress-induced-phosphoprotein 1
sp|Q64345|IFIT3_MOUSE,38,Ifit3,IFIT3_MOUSE Interferon-induced protein with tetratricopeptide repeats 3
tr|E9PV48|E9PV48_MOUSE,39,I830012O16Rik,E9PV48_MOUSE Protein I830012O16Rik
sp|Q8VE47|UBA5_MOUSE,40,Uba5,UBA5_MOUSE Ubiquitin-like modifier-activating enzyme 5
sp|Q61140|BCAR1_MOUSE,41,Bcar1,BCAR1_MOUSE Breast cancer anti-estrogen resistance protein 1
sp|P52795|EFNB1_MOUSE,42,Efnb1,EFNB1_MOUSE Ephrin-B1
sp|P30999|CTND1_MOUSE,43,Ctnnd1,CTND1_MOUSE Catenin delta-1
sp|Q9D8N0|EF1G_MOUSE,44,Eef1g,EF1G_MOUSE Elongation factor 1-gamma
tr|E9PVZ8|E9PVZ8_MOUSE,45,Golgb1,E9PVZ8_MOUSE Protein Golgb1
