Protein Id,Gene Symbol,Description,Number of peptides,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5,Id,Average norm WT,Average norm G12D,Average norm G12D/Average norm WT
tr|E9QM38|E9QM38_MOUSE,Slc12a2,E9QM38_MOUSE Solute carrier family 12 member 2,52,10.0768,11.3868,11.1256,9.12637,9.16823,9.8191,10.1647,11.0605,9.06996,9.00186,1,10.17676,9.823224,0.965260456
sp|Q91V81|RBM42_MOUSE,Rbm42,RBM42_MOUSE RNA-binding protein 42,14,9.50537,10.3051,10.9624,9.79389,9.75311,9.72423,9.82329,10.776,10.2955,9.06125,2,10.063974,9.936054,0.987289315
sp|P60330|ESPL1_MOUSE,Espl1,ESPL1_MOUSE Separin,1,10.417,9.14667,10.0547,10.5726,9.14518,9.90144,10.6113,9.88502,9.96763,10.2984,3,9.86723,10.132758,1.026910085
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UAP1L_MOUSE UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,12,10.0917,9.97491,9.89593,11.213,11.6732,9.6036,8.88877,9.02631,10.0665,9.56616,4,10.569748,9.430268,0.892194213
sp|Q6P549|SHIP2_MOUSE,Inppl1,"SHIP2_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",14,10.1693,9.76605,9.95544,10.0428,9.39423,10.0501,10.4225,10.413,9.82626,9.96041,5,9.865564,10.134454,1.027255411
sp|Q91YN5|UAP1_MOUSE,Uap1,UAP1_MOUSE UDP-N-acetylhexosamine pyrophosphorylase,35,10.5045,9.02277,8.8836,12.7976,12.435,8.95858,7.46328,7.8253,10.4802,11.6292,6,10.728694,9.271312,0.864160354
sp|O70209|PDLI3_MOUSE,Pdlim3,PDLI3_MOUSE PDZ and LIM domain protein 3,16,8.68995,9.25035,8.60431,13.8069,16.3174,7.02662,7.58746,6.72585,9.94313,12.0481,7,11.333782,8.666232,0.764637259
sp|O35226|PSMD4_MOUSE,Psmd4,PSMD4_MOUSE 26S proteasome non-ATPase regulatory subunit 4,25,10.67,10.9932,10.2235,9.02564,8.93007,10.7186,9.41619,10.4071,10.1837,9.43196,8,9.968482,10.03151,1.006322728
sp|Q80X85|RT07_MOUSE,Mrps7,"RT07_MOUSE 28S ribosomal protein S7, mitochondrial",7,9.29944,9.71293,10.1522,9.23251,9.07535,10.8272,11.0773,10.4857,10.4231,9.71417,9,9.494486,10.505494,1.1064837
sp|P63213|GBG2_MOUSE,Gng2,GBG2_MOUSE Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,4,7.02667,7.4841,12.1473,11.6265,10.9295,12.5373,8.67486,7.17941,10.7848,11.6095,10,9.842814,10.157174,1.031938021
sp|Q9DB43|ZFPL1_MOUSE,Zfpl1,ZFPL1_MOUSE Zinc finger protein-like 1,10,9.42153,9.8263,10.1058,10.0299,10.6171,10.0636,9.89353,9.14723,10.7373,10.1577,11,10.000126,9.999872,0.9999746
sp|Q3UJB9|EDC4_MOUSE,Edc4,EDC4_MOUSE Enhancer of mRNA-decapping protein 4,29,9.98594,9.80544,10.5071,9.7576,9.70678,10.1,10.0335,10.2866,10.2433,9.57382,12,9.952572,10.047444,1.00953241
tr|F6V5I7|F6V5I7_MOUSE,Edc4,F6V5I7_MOUSE Enhancer of mRNA-decapping protein 4 (Fragment),1,9.01004,7.61433,6.74056,12.6329,6.64572,15.9067,13.4873,11.6262,7.59424,8.74196,13,8.52871,11.47128,1.345019352
sp|Q7TME2|SPAG5_MOUSE,Spag5,SPAG5_MOUSE Sperm-associated antigen 5,1,10.9325,11.3562,12.4245,8.71501,10.0825,10.326,9.13574,7.90657,11.1609,7.96017,14,10.702142,9.297876,0.868786454
tr|E9Q6U4|E9Q6U4_MOUSE,Pfdn4,E9Q6U4_MOUSE Protein Pfdn4,3,9.10056,11.7131,8.96384,10.8216,8.4299,11.4899,9.13625,11.4981,8.55607,10.2907,15,9.8058,10.194204,1.039609619
sp|Q6NV83|SR140_MOUSE,U2surp,SR140_MOUSE U2 snRNP-associated SURP motif-containing protein,22,10.2274,10.3605,10.6565,9.2043,9.28249,10.1047,9.99242,10.7563,10.0612,9.35411,16,9.946238,10.053746,1.010808911
sp|Q9R1T4|SEPT6_MOUSE,Sept6,SEPT6_MOUSE Septin-6,4,8.93884,9.4753,9.70366,11.1572,11.0249,9.25342,8.9435,10.0749,10.3737,11.0546,17,10.05998,9.940024,0.988075921
sp|Q8C1B7|SEP11_MOUSE,Sep11,SEP11_MOUSE Septin-11,21,9.45129,9.27754,9.87995,9.89293,9.77879,10.1758,10.8245,10.4316,10.0514,10.2362,18,9.6561,10.3439,1.071229585
sp|O55131|SEPT7_MOUSE,Sept7,SEPT7_MOUSE Septin-7,28,10.0287,9.57369,9.98463,9.92433,9.5964,9.99805,10.3021,10.4948,9.6515,10.4458,19,9.82155,10.17845,1.03633846
sp|Q80UG5|SEPT9_MOUSE,Sept9,SEPT9_MOUSE Septin-9,26,9.2784,9.68575,9.64967,9.23662,9.20124,10.6779,10.9238,10.6934,10.3902,10.263,20,9.410336,10.58966,1.125322199
sp|Q8C650|SEP10_MOUSE,Sep10,SEP10_MOUSE Septin-10,11,8.64741,9.19218,9.54737,8.62486,9.11304,10.5804,11.5717,11.8756,10.5054,10.342,21,9.024972,10.97502,1.216072471
sp|Q8CHH9|SEPT8_MOUSE,Sept8,SEPT8_MOUSE Septin-8,8,10.1674,9.66943,10.0113,10.299,10.7411,9.17457,9.93284,9.57768,10.1216,10.3051,22,10.177646,9.822358,0.965091338
sp|P97807|FUMH_MOUSE,Fh,"FUMH_MOUSE Fumarate hydratase, mitochondrial",46,10.275,9.82109,9.95253,11.1636,10.4723,9.35314,9.28971,9.44394,9.95013,10.2786,23,10.336904,9.663104,0.934816073
sp|P26039|TLN1_MOUSE,Tln1,TLN1_MOUSE Talin-1,162,9.53125,9.19646,9.52504,11.0255,11.8571,9.35156,9.57369,9.34873,10.1647,10.4259,24,10.22707,9.772916,0.955592951
sp|Q71LX4|TLN2_MOUSE,Tln2,TLN2_MOUSE Talin-2,37,8.92938,9.14822,9.21469,11.0281,11.1896,9.24099,9.23905,10.7618,10.4977,10.7506,25,9.901998,10.098028,1.019797015
sp|Q9CZW5|TOM70_MOUSE,Tomm70a,TOM70_MOUSE Mitochondrial import receptor subunit TOM70,35,9.95093,10.2036,10.0569,9.37514,9.36588,10.5262,10.1635,10.3747,10.287,9.69621,26,9.79049,10.209522,1.042799901
sp|Q7TND5|RPF1_MOUSE,Rpf1,RPF1_MOUSE Ribosome production factor 1,4,10.5559,10.615,9.52713,9.06884,9.85178,10.9303,9.42715,10.4735,9.65845,9.89207,27,9.92373,10.076294,1.015373655
tr|Q8C845|Q8C845_MOUSE,Efhd2,Q8C845_MOUSE EF-hand domain-containing protein D2,27,9.87084,9.75444,9.52464,10.0653,9.6737,10.1708,10.0853,10.3022,10.0048,10.548,28,9.777784,10.22222,1.045453653
tr|E9PV60|E9PV60_MOUSE,Wdfy4,E9PV60_MOUSE Protein Wdfy4,6,11.7526,8.65096,8.75609,10.0841,12.4731,10.6836,9.73758,8.44941,9.02623,10.3863,29,10.34337,9.656624,0.933605198
sp|Q9D061|ACBD6_MOUSE,Acbd6,ACBD6_MOUSE Acyl-CoA-binding domain-containing protein 6,3,10.19,10.0802,11.1546,9.02283,9.66558,9.73982,9.90017,10.4644,10.5996,9.18274,30,10.022642,9.977346,0.995480633
tr|F8VQL9|F8VQL9_MOUSE,Ncor2,F8VQL9_MOUSE Nuclear receptor corepressor 2,15,8.95657,8.93541,10.1442,8.9198,8.67952,10.7656,11.881,11.1477,10.5241,10.046,31,9.1271,10.87288,1.191274337
tr|E9Q2B2|E9Q2B2_MOUSE,Ncor1,E9Q2B2_MOUSE Nuclear receptor corepressor 1,20,9.84776,10.0687,10.1017,9.4724,9.65884,10.3159,10.238,10.443,9.97116,9.88257,32,9.82988,10.170126,1.034613444
sp|Q9QUR8|SEM7A_MOUSE,Sema7a,SEM7A_MOUSE Semaphorin-7A,2,7.41971,7.04888,7.46356,5.94989,6.49517,12.9656,14.1701,13.3652,12.2986,12.8234,33,6.875442,13.12458,1.908907093
sp|Q62009-2|POSTN_MOUSE,Postn,POSTN_MOUSE Isoform 2 of Periostin,46,9.1395,9.06172,8.98113,12.0582,12.83,8.44697,9.12477,8.93113,9.94943,11.4772,34,10.41411,9.5859,0.920472321
sp|A2AGT5|CKAP5_MOUSE,Ckap5,CKAP5_MOUSE Cytoskeleton-associated protein 5,52,10.0757,9.59502,10.2973,9.55429,9.7283,10.2919,10.2386,10.0997,10.441,9.67818,35,9.850122,10.149876,1.030431501
sp|B2RXC1|TPC11_MOUSE,Trappc11,TPC11_MOUSE Trafficking protein particle complex subunit 11,14,10.0726,9.93493,9.70937,10.3565,10.5173,10.126,9.70721,9.60451,10.1046,9.86696,36,10.11814,9.881856,0.976647487
sp|Q60864|STIP1_MOUSE,Stip1,STIP1_MOUSE Stress-induced-phosphoprotein 1,55,10.8462,10.56,10.88,9.89108,9.72532,10.4028,9.44864,9.24119,9.77029,9.23446,37,10.38052,9.619476,0.926685368
sp|Q64345|IFIT3_MOUSE,Ifit3,IFIT3_MOUSE Interferon-induced protein with tetratricopeptide repeats 3,9,12.5011,17.2831,15.304,8.56515,12.3629,7.88544,6.91959,7.97516,6.11592,5.08763,38,13.20325,6.796748,0.514778407
tr|E9PV48|E9PV48_MOUSE,I830012O16Rik,E9PV48_MOUSE Protein I830012O16Rik,1,11.8422,19.7411,15.7585,8.84867,12.7707,8.08273,6.18244,6.53867,5.34101,4.89397,39,13.792234,6.207764,0.450091262
sp|Q8VE47|UBA5_MOUSE,Uba5,UBA5_MOUSE Ubiquitin-like modifier-activating enzyme 5,19,10.557,9.49095,9.99144,10.9674,11.762,8.88108,8.96802,8.6254,10.6016,10.1551,40,10.553758,9.44624,0.895059371
