Protein Id,Gene Symbol,Description,Number of peptides,PDX_1,PDX_2,PDX_3,PDXp53_1,PDXp53_2,PDXp53_3,D314,D693,D705,D751,D756,Id,Average norm WT,Average norm G12D,Average norm G12D/Average norm WT
tr|E9QM38|E9QM38_MOUSE,Slc12a2,E9QM38_MOUSE Solute carrier family 12 member 2,6,5.05559,4.07241,5.32192,4.7907,5.83123,4.35591,28.1407,16.97,10.317,6.17062,8.97397,1,4.904626667,14.114458,2.877784378
sp|Q6ZQ88|KDM1A_MOUSE,Kdm1a,KDM1A_MOUSE Lysine-specific histone demethylase 1A,9,6.61247,5.74363,5.78981,5.99148,6.73133,6.2594,11.424,12.0652,12.6172,14.536,12.2295,3262,6.18802,12.57438,2.032052256
sp|Q80VI1|TRI56_MOUSE,Trim56,TRI56_MOUSE E3 ubiquitin-protein ligase TRIM56,1,7.37846,11.5458,8.11415,8.41673,9.83727,10.3474,12.2358,11.8688,8.23911,5.12435,6.89218,1842,9.273301667,8.872048,0.956730226
sp|O35226|PSMD4_MOUSE,Psmd4,PSMD4_MOUSE 26S proteasome non-ATPase regulatory subunit 4,11,8.4147,9.73691,9.6745,9.09987,8.91623,8.82544,8.75753,8.91561,8.39172,10.5535,8.714,8,9.111275,9.066472,0.995082686
sp|O35226-2|PSMD4_MOUSE,Psmd4,PSMD4_MOUSE Isoform Rpn10B of 26S proteasome non-ATPase regulatory subunit 4,4,8.09566,9.12731,8.88782,8.00581,9.14438,8.73016,10.0604,8.90447,9.39268,9.16773,10.4836,8121,8.66519,9.601776,1.108086032
sp|Q80X85|RT07_MOUSE,Mrps7,"RT07_MOUSE 28S ribosomal protein S7, mitochondrial",4,8.74961,7.47854,8.18324,7.81034,8.69101,8.51106,11.8376,11.8931,8.74556,8.50278,9.59716,9,8.2373,10.11524,1.227980042
tr|Q9ER67|Q9ER67_MOUSE,Maged2,Q9ER67_MOUSE Maged2 protein,8,6.7775,6.50447,5.89659,7.02108,7.55019,6.56726,15.2337,8.3647,12.7251,12.6597,10.6997,2858,6.719515,11.93658,1.776404994
tr|E9Q6U4|E9Q6U4_MOUSE,Pfdn4,E9Q6U4_MOUSE Protein Pfdn4,6,7.49131,8.73049,7.8101,8.40543,8.00723,8.90459,9.5385,9.59365,7.65623,14.1965,9.66595,15,8.224858333,10.130166,1.231652338
sp|Q6NV83|SR140_MOUSE,U2surp,SR140_MOUSE U2 snRNP-associated SURP motif-containing protein,10,6.81082,7.75407,6.02522,7.02265,6.9144,7.51595,9.62739,11.0968,9.70895,14.8537,12.67,16,7.007185,11.591368,1.654211784
sp|Q9R1T4|SEPT6_MOUSE,Sept6,SEPT6_MOUSE Septin-6,10,3.85917,2.60298,3.18872,3.67604,3.53456,3.22137,14.1367,12.0373,21.1351,10.3751,22.233,17,3.34714,15.98344,4.775252902
sp|Q8C1B7|SEP11_MOUSE,Sep11,SEP11_MOUSE Septin-11,12,5.43817,5.17916,5.55967,4.97626,6.17473,5.76653,14.0443,10.281,13.5675,14.6499,14.3627,18,5.515753333,13.38108,2.425975056
sp|O55131|SEPT7_MOUSE,Sept7,SEPT7_MOUSE Septin-7,27,5.23968,4.92884,5.29653,5.38339,5.66535,5.2553,12.9711,12.9815,13.2175,15.4531,13.6077,19,5.294848333,13.64618,2.577256069
sp|P28661|SEPT4_MOUSE,Sept4,SEPT4_MOUSE Septin-4,4,4.4364,3.7418,4.13213,3.9981,4.98498,4.03967,15.9107,13.3315,20.387,8.51498,16.5228,5242,4.22218,14.933396,3.536892316
sp|Q8CHH9|SEPT8_MOUSE,Sept8,SEPT8_MOUSE Septin-8,6,5.21862,4.45727,3.9893,4.88653,4.60427,4.91419,13.2917,19.707,16.0299,11.1494,11.7519,22,4.678363333,14.38598,3.075002725
sp|Q8C650|SEP10_MOUSE,Sep10,SEP10_MOUSE Septin-10,5,5.20904,3.75438,5.85808,6.10433,7.09515,5.46789,13.3699,17.2838,11.2185,14.6817,9.95713,21,5.581478333,13.302206,2.383276474
sp|P18155|MTDC_MOUSE,Mthfd2,"MTDC_MOUSE Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",8,11.1019,16.6784,13.5719,14.269,15.0566,15.7582,2.52422,2.13507,2.56988,3.16045,3.17441,7437,14.406,2.712806,0.188310843
sp|P97807|FUMH_MOUSE,Fh,"FUMH_MOUSE Fumarate hydratase, mitochondrial",39,11.9131,11.0774,9.1774,11.6679,11.4741,12.0063,5.60214,6.19275,7.41259,6.36724,7.10904,23,11.21936667,6.536752,0.582631105
sp|P26039|TLN1_MOUSE,Tln1,TLN1_MOUSE Talin-1,145,3.88891,3.76862,3.69378,3.92981,4.12164,3.95431,12.7313,12.3068,17.7639,13.067,20.774,24,3.892845,15.3286,3.937634301
sp|Q71LX4|TLN2_MOUSE,Tln2,TLN2_MOUSE Talin-2,35,9.50389,8.61891,8.01064,8.6425,9.83075,8.23869,11.6996,9.94326,9.24299,7.56907,8.69974,25,8.807563333,9.430932,1.070776518
sp|Q9CPR4|RL17_MOUSE,Rpl17,RL17_MOUSE 60S ribosomal protein L17,46,14.1856,15.1407,13.6341,14.2246,14.0238,13.7987,3.05292,3.10038,2.87685,2.89189,3.07044,5962,14.16791667,2.998496,0.211639867
sp|P98063|BMP1_MOUSE,Bmp1,BMP1_MOUSE Bone morphogenetic protein 1,4,1.83745,1.51961,1.73709,1.92023,2.14989,2.22478,18.2644,18.2655,11.196,26.2079,14.6771,8122,1.898175,17.72218,9.336431046
sp|O08553|DPYL2_MOUSE,Dpysl2,DPYL2_MOUSE Dihydropyrimidinase-related protein 2,59,4.23454,3.84169,3.36269,3.94398,3.93261,4.24397,14.0044,10.8549,16.9531,17.6632,16.9649,291,3.92658,15.2881,3.893490009
tr|E9PWE8|E9PWE8_MOUSE,Dpysl3,E9PWE8_MOUSE Dihydropyrimidinase-related protein 3,31,2.45678,2.34621,1.89039,2.54937,3.01257,2.77116,20.226,12.3016,14.0293,26.2162,12.2006,290,2.504413333,16.99474,6.785916595
