Protein Id,Gene Symbol,Description,Number of peptides,wt_1,wt_2,wt_3,wt_4,G12D_1,G12D_2,G12D_3,Id,norm_wt_1,norm_wt_2,norm_wt_3,norm_wt_4,norm_G12D_1,norm_G12D_2,norm_G12D_3,Average norm WT,Average norm G12D,Average norm G12D/Average norm WT
tr|E9QM38|E9QM38_MOUSE,Slc12a2,E9QM38_MOUSE Solute carrier family 12 member 2,8,797.827,788.007,763.556,580.383,866.216,893.625,779.085,1,14.58897262,14.40940524,13.96229707,10.61281669,15.839526,16.34072382,14.24625857,13.3933729,15.4755028,1.155459712
sp|Q14AX6|CDK12_MOUSE,Cdk12,CDK12_MOUSE Cyclin-dependent kinase 12,3,298.429,314.076,283.477,268.813,278.428,285.682,347.653,427,14.37132986,15.12483639,13.65129219,12.94512361,13.40814945,13.75747752,16.74179098,14.02314551,14.63580598,1.043689233
sp|Q9DC71|RT15_MOUSE,Mrps15,"RT15_MOUSE 28S ribosomal protein S15, mitochondrial",7,606.014,658.478,627.444,472.947,724.43,670.972,672.026,4630,13.67264165,14.85631311,14.15613661,10.67043806,16.34429533,15.13819766,15.16197758,13.33888236,15.54815686,1.165626657
sp|Q64127|TIF1A_MOUSE,Trim24,TIF1A_MOUSE Transcription intermediary factor 1-alpha,5,384.282,407.567,324.577,389.754,413.051,432.396,433.181,1376,13.79922781,14.63537163,11.6552739,13.99572251,14.83229724,15.52695913,15.55514779,13.52139896,15.30480138,1.131894816
sp|Q99PP7|TRI33_MOUSE,Trim33,TRI33_MOUSE E3 ubiquitin-protein ligase TRIM33,2,40.4383,38.2787,42.5348,22.1156,62.4309,62.3004,52.3431,1378,12.61954589,11.94560135,13.27379886,6.901596483,19.48275787,19.44203284,16.3346667,11.18513565,18.41981914,1.646812316
sp|P45481|CBP_MOUSE,Crebbp,CBP_MOUSE CREB-binding protein,2,189.909,166.365,207.853,149.557,271.652,298.781,274.53,1377,12.18422132,10.67368044,13.33547622,9.595309265,17.42870579,19.16925385,17.61335312,11.44717181,18.07043759,1.578594074
sp|Q80WW9|DDRGK_MOUSE,Ddrgk1,DDRGK_MOUSE DDRGK domain-containing protein 1,12,452.844,412.86,532.695,525.913,407.493,393.149,389.72,7092,14.53904967,13.25531982,17.10275297,16.88500947,13.08300644,12.6224767,12.51238492,15.44553298,12.73928936,0.824787942
sp|O35226|PSMD4_MOUSE,Psmd4,PSMD4_MOUSE 26S proteasome non-ATPase regulatory subunit 4,11,1697.16,1556.78,1527.07,2376.75,995.398,1057.57,1279.83,8,16.17797642,14.83982072,14.55661367,22.6560875,9.488513385,10.0811606,12.19982769,17.05762458,10.58983389,0.620827
sp|O35226-2|PSMD4_MOUSE,Psmd4,PSMD4_MOUSE Isoform Rpn10B of 26S proteasome non-ATPase regulatory subunit 4,2,173.022,175.871,156.193,226.727,132.251,123.046,147.189,8121,15.25365005,15.50481839,13.77000244,19.98829233,11.6592715,10.84775707,12.97620821,16.1291908,11.82774559,0.733313018
sp|Q80X85|RT07_MOUSE,Mrps7,"RT07_MOUSE 28S ribosomal protein S7, mitochondrial",5,445.571,476.518,487.756,345.132,600.413,537.126,566.378,9,12.8818923,13.77660027,14.10150181,9.978102827,17.35852559,15.52883667,16.37454053,12.6845243,16.42063426,1.294540802
